投稿文,画像URL,いいね数,ジャンル
"ビジネススキル向上のヒント - ビジネス関連の最新情報 #1","https://picsum.photos/400/400?random=1752994801261-0",959,"ビジネス"
"業界ニュース速報 - ビジネス関連の最新情報 #2","https://picsum.photos/400/400?random=1752994801261-1",849,"ビジネス"
"マーケティング成功事例を解説 - マーケティング関連の最新情報 #3","https://picsum.photos/400/400?random=1752994801261-2",386,"マーケティング"
"業界ニュース速報 - マーケティング関連の最新情報 #4","https://picsum.photos/400/400?random=1752994801261-3",842,"マーケティング"
"ビジネストレンド最前線 - マーケティング関連の最新情報 #5","https://picsum.photos/400/400?random=1752994801261-4",74,"マーケティング"
"マーケティング成功事例を解説 - マーケティング関連の最新情報 #6","https://picsum.photos/400/400?random=1752994801261-5",666,"マーケティング"
"最新のビジネスツール紹介 - ビジネス関連の最新情報 #7","https://picsum.photos/400/400?random=1752994801261-6",769,"ビジネス"
"ビジネススキル向上のヒント - マーケティング関連の最新情報 #8","https://picsum.photos/400/400?random=1752994801261-7",1031,"マーケティング"
"ビジネススキル向上のヒント - ビジネス関連の最新情報 #9","https://picsum.photos/400/400?random=1752994801261-8",664,"ビジネス"
"ビジネススキル向上のヒント - ビジネス関連の最新情報 #10","https://picsum.photos/400/400?random=1752994801261-9",1031,"ビジネス"
"最新のビジネスツール紹介 - マーケティング関連の最新情報 #11","https://picsum.photos/400/400?random=1752994801261-10",341,"マーケティング"
"マーケティング成功事例を解説 - ビジネス関連の最新情報 #12","https://picsum.photos/400/400?random=1752994801261-11",910,"ビジネス"
"起業家インタビュー特集 - マーケティング関連の最新情報 #13","https://picsum.photos/400/400?random=1752994801261-12",960,"マーケティング"
"業界ニュース速報 - ビジネス関連の最新情報 #14","https://picsum.photos/400/400?random=1752994801261-13",67,"ビジネス"
"最新のビジネスツール紹介 - ビジネス関連の最新情報 #15","https://picsum.photos/400/400?random=1752994801261-14",514,"ビジネス"
"ビジネススキル向上のヒント - マーケティング関連の最新情報 #16","https://picsum.photos/400/400?random=1752994801261-15",418,"マーケティング"
